sample_size,dataset_id,passed_safety_02,passed_safety_01,passed_safety_005,passed_safety_001,sa_02_accuracy,sa_01_accuracy,sa_005_accuracy,sa_001_accuracy,sa_02_disc_stat,sa_01_disc_stat,sa_005_disc_stat,sa_001_disc_stat
5000,10,True,True,True,False,0.7646,0.7002,0.5364,0.4832,0.224,0.1837,0.0758,0.0
2500,32,True,True,True,True,0.768,0.6796,0.5012,0.5012,0.1854,0.1893,0.0,0.0
500,40,True,True,True,True,0.756,0.766,0.542,0.542,0.2877,0.2556,0.0,0.0
1000,7,True,True,True,False,0.589,0.483,0.483,0.483,0.1155,0.0,0.0,0.0
500,33,True,True,True,True,0.512,0.51,0.51,0.51,,0.0,0.0,0.0
500,15,True,True,True,True,0.52,0.504,0.504,0.504,0.0167,0.0,0.0,0.0
5000,9,True,True,True,False,0.7746,0.7,0.5702,0.5096,0.1987,0.185,0.0617,0.0054
2500,4,True,True,True,False,0.7536,0.5528,0.5172,0.516,0.1488,0.0348,,0.0
500,24,True,True,True,True,0.53,0.53,0.53,0.53,0.0,0.0,0.0,0.0
2500,31,True,True,True,True,0.7232,0.5556,0.4984,0.4984,0.1725,0.0375,0.0,0.0
500,3,True,False,False,False,0.528,0.528,0.528,0.528,0.0,0.0,0.0,0.0
2500,11,True,True,True,True,0.7648,0.6056,0.5152,0.5152,0.1861,0.1045,0.0,0.0
500,42,True,True,False,False,0.578,0.502,0.502,0.502,0.0953,,0.0,0.0
500,21,True,False,False,False,0.462,0.462,0.462,0.462,0.0,0.0,0.0,0.0
5000,33,True,True,True,False,0.7614,0.6436,0.509,0.4968,0.2604,0.175,0.0214,0.0
1000,46,True,True,True,False,0.654,0.492,0.488,0.512,0.1146,0.0087,0.0,0.0
5000,2,True,True,True,True,0.7652,0.643,0.5114,0.4914,0.1798,0.1457,0.021,0.0
5000,4,True,True,True,True,0.7614,0.654,0.7496,0.497,0.2206,0.1819,0.2576,0.0025
2500,21,True,True,True,True,0.7568,0.588,0.5112,0.51,0.2427,0.1004,,0.0
500,46,True,True,True,True,0.682,0.504,0.504,0.504,0.2493,0.0,0.0,0.0
2500,33,True,True,True,True,0.6736,0.6456,0.5032,0.4956,0.1811,0.1647,0.0183,0.0
2500,44,True,True,True,True,0.7456,0.5892,0.5528,0.5228,0.2061,0.0747,0.0456,0.0
5000,36,True,True,True,False,0.613,0.505,0.5004,0.5004,0.0975,0.0059,0.0,0.0
2500,35,True,True,True,False,0.7572,0.5752,0.4996,0.4996,0.2256,0.0698,0.0,0.0
2500,47,True,True,True,False,0.7688,0.62,0.5044,0.502,0.1871,0.1307,0.0032,0.0
2500,36,True,True,True,True,0.736,0.5152,0.4996,0.4996,0.1965,0.0419,0.0,0.0
1000,2,True,True,True,True,0.49,0.49,0.49,0.49,0.0,0.0,0.0,0.0
1000,44,True,True,True,True,0.725,0.644,0.499,0.499,0.158,0.099,0.0,0.0
1000,26,True,True,True,True,0.504,0.499,0.499,0.499,,0.0,0.0,0.0
5000,18,True,True,True,True,0.7558,0.645,0.5756,0.502,0.1513,0.0964,0.0736,0.0
5000,47,True,True,True,False,0.765,0.7088,0.5232,0.5026,0.1791,0.1936,0.0364,0.0
5000,36,True,True,True,False,0.613,0.505,0.5004,0.5004,0.0975,0.0059,0.0,0.0
1000,36,True,True,True,True,0.731,0.494,0.491,0.491,0.2299,,0.0,0.0
2500,45,True,True,True,False,0.566,0.498,0.498,0.498,0.0227,0.0,0.0,0.0
500,39,True,False,False,False,0.56,0.506,0.506,0.506,0.0738,0.0,0.0,0.0
2500,15,True,True,True,False,0.566,0.5068,0.5068,0.5068,0.032,0.0,0.0,0.0
500,26,True,True,True,True,0.536,0.792,0.74,0.516,0.0291,0.2442,0.2528,0.0
2500,28,True,True,True,False,0.59,0.6936,0.4964,0.506,0.0587,0.1681,0.0,0.0001
500,32,True,True,True,True,0.522,0.522,0.522,0.522,0.0,0.0,0.0,0.0
2500,3,True,True,True,True,0.6952,0.5368,0.5248,0.5248,0.1574,0.0266,0.0,0.0
5000,8,True,True,True,False,0.6364,0.508,0.5028,0.5028,0.0607,0.0063,0.0,0.0
500,18,True,True,True,True,0.664,0.49,0.628,0.726,0.1437,0.0208,0.1498,0.1466
1000,7,True,True,True,False,0.589,0.483,0.483,0.483,0.1155,0.0,0.0,0.0
1000,5,True,True,True,True,0.581,0.502,0.5,0.5,0.1644,0.0002,0.0,0.0
2500,12,True,True,True,False,0.758,0.5864,0.5196,0.5176,0.2065,0.0474,,0.0
500,33,True,True,True,True,0.512,0.51,0.51,0.51,,0.0,0.0,0.0
5000,33,True,True,True,False,0.7614,0.6436,0.509,0.4968,0.2604,0.175,0.0214,0.0
500,27,True,True,True,True,0.672,0.494,0.494,0.494,0.107,0.0,0.0,0.0
1000,12,True,True,True,True,0.6,0.49,0.49,0.49,0.048,0.0,0.0,0.0
2500,9,True,True,True,False,0.5308,0.5044,0.5044,0.4956,0.0136,0.0,0.0,0.0
